No,번호,명       칭,구별,읍면동,위        치,주소,경도,위도,상태
115,115,호반리젠시빌,서북구,백석동,900,충남 천안시 서북구 백석동 900,127.120542590644,36.8194419810164,정좌표
116,116,호반리젠시빌,서북구,백석동,909,충남 천안시 서북구 백석동 909,127.118251023111,36.8177745300112,정좌표
117,117,한미래,서북구,성환읍,수향리 466-5,충남 천안시 서북구 성환읍 수향리 466-5,127.131676288433,36.955750609929,정좌표
118,118,하늘빛(문덕마을세아),서북구,성거읍,문덕리 231-6,충남 천안시 서북구 성거읍 문덕리 231-6,127.181032238571,36.8760650376292,정좌표
119,119,계룡리슈빌,서북구,두정동,1078,충남 천안시 서북구 두정동 1078,127.13704189084,36.8382972396565,정좌표
120,120,서해그랑블,서북구,두정동,665,충남 천안시 서북구 두정동 665,127.130125486275,36.8281245758218,정좌표
121,121,천안두정5차푸르지오,서북구,두정동,2010,충남 천안시 서북구 두정동 2010,127.128721059227,36.8346704435372,정좌표
122,122,아느칸빌,서북구,성거읍,저리 26-7,충남 천안시 서북구 성거읍 저리 26-7,127.205536746204,36.881374689855,정좌표
123,125,경남아너스빌,서북구,두정동,1080,충남 천안시 서북구 두정동 1080,127.13959596668,36.8382923365759,정좌표
124,126,한성필하우스,서북구,두정동,1886,충남 천안시 서북구 두정동 1886,127.133342659989,36.8376254310494,정좌표
125,127,불당한성필하우스,서북구,불당동,788,충남 천안시 서북구 불당동 788,127.113573806802,36.8026548610958,정좌표
126,128,두정이-편한세상,서북구,두정동,1221,충남 천안시 서북구 두정동 1221,127.140927201702,36.8348475727122,정좌표
127,129,그린빌2차,서북구,백석동,890,충남 천안시 서북구 백석동 890,127.12202835297,36.8220556643485,정좌표
128,130,불당마을동일하이빌,서북구,불당동,750(751),충남 천안시 서북구 불당동 750(751),127.113092162711,36.8081608987889,정좌표
129,131,불당아이파크,서북구,불당동,757,충남 천안시 서북구 불당동 757,127.109278117765,36.8085299090574,정좌표
130,132,대원칸타빌,서북구,불당동,787,충남 천안시 서북구 불당동 787,127.116060581216,36.8033208410844,정좌표
131,133,호반리젠시빌스위트,서북구,불당동,780,충남 천안시 서북구 불당동 780,127.116897422729,36.8060142732304,정좌표
132,134,한성3차필하우스,서북구,두정동,2035,충남 천안시 서북구 두정동 2035,127.147111216381,36.8342995750156,정좌표
133,135,대동다:숲,서북구,불당동,820,충남 천안시 서북구 불당동 820,127.111519594378,36.8057541918016,정좌표
134,136,신동아파밀리에,서북구,와촌동,173,충남 천안시 서북구 와촌동 173,127.144492574595,36.8074300546826,정좌표
135,137,성환부영2차,서북구,성환읍,매주리 244-13,충남 천안시 서북구 성환읍 매주리 244-13,127.134482725077,36.9042180918321,정좌표
136,138,범양마더빌1차,서북구,쌍용2동,2040,충남 천안시 서북구 쌍용2동 2040,127.127027947932,36.7936668978716,정좌표
137,139,스윗트리,서북구,성거읍,저리 319-31,충남 천안시 서북구 성거읍 저리 319-31,127.203557055587,36.8799827704974,정좌표
138,140,직산코아루,서북구,직산읍,삼은리 395,충남 천안시 서북구 직산읍 삼은리 395,127.152976958839,36.8781914597271,정좌표
139,141,대주파크빌1단지,서북구,두정동,1896,충남 천안시 서북구 두정동 1896,127.130116327493,36.8364937988335,정좌표
140,142,대주파크빌2단지,서북구,두정동,1898,충남 천안시 서북구 두정동 1898,127.13054864543,36.8363265464878,정좌표
141,143,직산세광엔리치빌1차(1단지),서북구,직산읍,삼은리 72-41,충남 천안시 서북구 직산읍 삼은리 72-41,127.152253822046,36.8791363725385,정좌표
142,144,직산1차(2단지)세광엔리치빌,서북구,직산읍,삼은리 74-3,충남 천안시 서북구 직산읍 삼은리 74-3,127.150250546447,36.8799678180657,정좌표
143,145,삼환나우빌,서북구,성거읍,신월리 2-26,충남 천안시 서북구 성거읍 신월리 2-26,127.157724064024,36.8771299705858,정좌표
144,146,신당코아루,서북구,신당동,284-1,충남 천안시 서북구 신당동 284-1,127.159363172694,36.8533830332198,정좌표
145,147,아포리예미원,서북구,성환읍,성월리 95-7,충남 천안시 서북구 성환읍 성월리 95-7,127.133839498497,36.9129633657995,정좌표
146,148,백석벽산블루밍1차,서북구,백석동,919,충남 천안시 서북구 백석동 919,127.114047329795,36.8249210682574,정좌표
147,149,백석벽산블루밍2차,서북구,백석동,924,충남 천안시 서북구 백석동 924,127.11436123143,36.8260591482251,정좌표
148,150,브라운스톤천안,서북구,백석동,930,충남 천안시 서북구 백석동 930,127.115679460933,36.8289965131787,정좌표
149,151,범양마더빌2차,서북구,쌍용2동,2047,충남 천안시 서북구 쌍용2동 2047,127.126543785581,36.7932764894523,정좌표
150,152,쌍용역푸르지오,서북구,쌍용2동,2050,충남 천안시 서북구 쌍용2동 2050,127.118697863264,36.7909712596907,정좌표
151,153,성환3차부영사랑으로,서북구,성환읍,매주리 244-5,충남 천안시 서북구 성환읍 매주리 244-5,127.13465064127,36.9052402714906,정좌표
152,154,쌍용GS자이,서북구,쌍용2동,2075,충남 천안시 서북구 쌍용2동 2075,127.116196749869,36.7872490292709,정좌표
153,155,쌍용동일하이빌,서북구,쌍용2동,2077,충남 천안시 서북구 쌍용2동 2077,127.114312021249,36.7860615858768,정좌표
154,156,성환두영부자마을,서북구,성환읍,성환리 111-13,충남 천안시 서북구 성환읍 성환리 111-13,127.131343105025,36.9310905869927,인근좌표
155,157,백석현대아이파크,서북구,백석동,941,충남 천안시 서북구 백석동 941,127.124870376952,36.8326235550859,정좌표
156,158,불당한화꿈에그린,서북구,불당동,1270,충남 천안시 서북구 불당동 1270,127.113593756499,36.8009736988987,정좌표
157,159,성환e편한세상,서북구,성환읍,매주리 182-10,충남 천안시 서북구 성환읍 매주리 182-10,127.132476111776,36.9017138616321,정좌표
158,160,두정역푸르지오,서북구,두정동,2037,충남 천안시 서북구 두정동 2037,127.150468462221,36.8338261738579,정좌표
159,161,백석푸르지오,서북구,백석동,979,충남 천안시 서북구 백석동 979,127.121676957663,36.8298449047399,정좌표
160,162,쌍용두산위브,서북구,쌍용동,1241,충남 천안시 서북구 쌍용동 1241,127.1281284184,36.7999019837363,정좌표
161,163,백석계룡리슈빌,서북구,백석동,1007,충남 천안시 서북구 백석동 1007,127.122345661078,36.832554178312,정좌표
162,164,희홍밸러뷰,서북구,직산읍,군동리 39,충남 천안시 서북구 직산읍 군동리 39,127.166855005534,36.8958179798292,정좌표
163,165,두정역이안더센트럴,서북구,두정동,2045,충남 천안시 서북구 두정동 2045,127.151000564746,36.8298124174195,정좌표
164,166,천안동일하이빌,서북구,쌍용3동,2100,충남 천안시 서북구 쌍용3동 2100,127.119994681171,36.8098098960916,정좌표
165,167,펜타포트,서북구,불당동,1292,충남 천안시 서북구 불당동 1292,127.101041101218,36.7998223683536,정좌표
166,168,펜타포트,서북구,불당동,1289,충남 천안시 서북구 불당동 1289,127.101364596913,36.7982794949735,정좌표
167,169,두정대림2차e편한세상,서북구,두정동,2055,충남 천안시 서북구 두정동 2055,127.129573078547,36.8378362111104,정좌표
